,es,it,de,nl,fr,en
Un,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
n ,-6.274762021241939,-6.424058322604399,-5.9979435132056915,-5.857933154483459,-7.437206366871293,-7.282073658093465
 p,-5.581614840681993,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
pr,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
ro,-7.373374309910049,-7.117205503164344,-6.914234245079846,-7.24422751560335,-7.437206366871293,-6.588926477533519
od,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
du,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
uc,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
ct,-6.274762021241939,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
to,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-6.1834613694253555
o ,-5.581614840681993,-6.424058322604399,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
 d,-7.373374309910049,-7.117205503164344,-5.9979435132056915,-7.24422751560335,-6.744059186311348,-7.282073658093465
de,-7.373374309910049,-7.117205503164344,-6.221087064519901,-6.145615226935241,-6.744059186311348,-7.282073658093465
e ,-5.581614840681993,-5.507767590730244,-6.508769136971682,-6.145615226935241,-6.744059186311348,-7.282073658093465
 u,-7.373374309910049,-7.117205503164344,-6.914234245079846,-7.24422751560335,-6.744059186311348,-7.282073658093465
un,-7.373374309910049,-7.117205503164344,-6.914234245079846,-7.24422751560335,-6.744059186311348,-6.588926477533519
na,-7.373374309910049,-7.117205503164344,-6.221087064519901,-7.24422751560335,-7.437206366871293,-7.282073658093465
a ,-5.987079948790158,-6.424058322604399,-7.607381425639791,-7.24422751560335,-6.744059186311348,-6.588926477533519
 c,-6.680227129350103,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
ca,-6.680227129350103,-6.424058322604399,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
al,-5.987079948790158,-6.018593214496234,-6.914234245079846,-7.24422751560335,-7.437206366871293,-6.588926477533519
li,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-6.744059186311348,-7.282073658093465
id,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
da,-7.373374309910049,-7.117205503164344,-6.914234245079846,-7.24422751560335,-7.437206366871293,-7.282073658093465
ad,-6.680227129350103,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
d ,-7.373374309910049,-6.424058322604399,-6.914234245079846,-7.24422751560335,-7.437206366871293,-7.282073658093465
 y,-7.373374309910049,-7.117205503164344,,-7.24422751560335,-7.437206366871293,-7.282073658093465
y ,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
ap,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
pa,-6.274762021241939,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
ac,-7.373374309910049,-7.117205503164344,-5.9979435132056915,-7.24422751560335,-7.437206366871293,-7.282073658093465
ci,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-6.744059186311348,-7.282073658093465
 i,-7.373374309910049,-6.424058322604399,-6.914234245079846,-7.24422751560335,-7.437206366871293,-7.282073658093465
in,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-6.588926477533519
nc,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
cr,-7.373374309910049,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
re,-6.680227129350103,-6.018593214496234,-7.607381425639791,-6.551080335043404,-7.437206366871293,-5.895779296973574
eí,-7.373374309910049,,,,,
íb,-7.373374309910049,,,,,
bl,-6.680227129350103,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
le,-7.373374309910049,-7.117205503164344,-6.508769136971682,-7.24422751560335,-7.437206366871293,-7.282073658093465
es,-7.373374309910049,-7.117205503164344,-6.508769136971682,-7.24422751560335,-6.744059186311348,-7.282073658093465
s ,-6.274762021241939,-7.117205503164344,-6.508769136971682,-7.24422751560335,-6.050912005751402,-6.1834613694253555
 q,-6.680227129350103,-7.117205503164344,-7.607381425639791,-7.24422751560335,-7.437206366871293,-7.282073658093465
