,es,it,de,nl,fr,en
Un ,-8.997889450200717,-8.837390855544697,-9.359708203627006,,-9.107864580386947,
n p,-8.304742269640771,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 pr,-8.997889450200717,-8.837390855544697,-9.359708203627006,-8.34152942228635,-9.107864580386947,-9.107753783201082
pro,-8.997889450200717,-8.144243674984754,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
rod,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
odu,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
duc,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
uct,-8.997889450200717,,,-9.034676602846295,-9.107864580386947,-9.107753783201082
cto,-8.997889450200717,-8.837390855544697,,-9.034676602846295,-8.414717399827001,-9.107753783201082
to ,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.414606602641136
o d,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 de,-8.997889450200717,-8.837390855544697,-8.261095914958897,-9.034676602846295,-8.414717399827001,-9.107753783201082
de ,-8.997889450200717,-8.837390855544697,-9.359708203627006,-8.34152942228635,-9.107864580386947,-9.107753783201082
e u,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 un,-8.997889450200717,-8.837390855544697,-8.66656102306706,-9.034676602846295,-8.414717399827001,-8.414606602641136
una,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
na ,-8.997889450200717,-8.837390855544697,-8.261095914958897,-9.034676602846295,-9.107864580386947,-9.107753783201082
a c,-8.304742269640771,-8.144243674984754,-9.359708203627006,-9.034676602846295,-9.107864580386947,-9.107753783201082
 ca,-8.997889450200717,-8.837390855544697,-9.359708203627006,-9.034676602846295,-9.107864580386947,-8.414606602641136
